Id,Ref (haul identifier),Cruise,Station,Event,Netno,Nettype,Net mouthm2,Net mesh(mm),Trajectorycode,Date,Year,Month,Day,GMT time,Local time,Day/night,Latitude (dec degrees),Longitude (dec degrees),Minimumnet depth(m),Maximum net depth (m),Water depth mean within 10km range (m),Water depth range within 10km range (m),Mean climatological temperature within 10 km range,Bin size,Mean length (mm),Total krill in sample,Source,Comments
4638,KM58A,KM,,,,KYMT,9,3.4,TARGET,28-Dec-90,1990,12,28,,,,-60.9835,-55.8835,110,110,-304,1151,1.69,1,43.6,149,1991 austral summer Japanese data sent by Taro Ichii (spermatophore notes not entered),
4642,KM82,KM,82,,,KYMT,9,3.4,OB,18-Jan-91,1991,1,18,,,,-59.9835,-55.9502,0,105,-3557,781,2.37,1,47.65,149,1991 austral summer Japanese data sent by Taro Ichii (spermatophore notes not entered),
4643,KM84,KM,84,,,KYMT,9,3.4,OB,19-Jan-91,1991,1,19,,,,-60.4668,-55.5168,0,60,-3615,312,1.87,1,47.34,149,1991 austral summer Japanese data sent by Taro Ichii (spermatophore notes not entered),
4644,KM87,KM,87,,,KYMT,9,3.4,OB,20-Jan-91,1991,1,20,,,,-61.3835,-55.5335,0,100,-225,501,1.2,1,35.56,34,1991 austral summer Japanese data sent by Taro Ichii (spermatophore notes not entered),
4645,KM89,KM,89,,,KYMT,9,3.4,OB,20-Jan-91,1991,1,20,,,,-60.8835,-56.0168,0,90,-1479,2673,1.79,1,45.28,149,1991 austral summer Japanese data sent by Taro Ichii (spermatophore notes not entered),
4646,KM91,KM,91,,,KYMT,9,3.4,OB,21-Jan-91,1991,1,21,,,,-60.4002,-56.5168,0,100,-3966,260,2.18,1,47.67,141,1991 austral summer Japanese data sent by Taro Ichii (spermatophore notes not entered),
4650,KM93,KM,93,,,KYMT,9,3.4,OB,21-Jan-91,1991,1,21,,,,-59.8335,-57.0168,0,75,-3457,115,2.65,1,49.08,95,1991 austral summer Japanese data sent by Taro Ichii (spermatophore notes not entered),
4651,KM95,KM,95,,,KYMT,9,3.4,OB,21-Jan-91,1991,1,21,,,,-60.3502,-57.3835,0,97,-2771,2326,2.43,1,47.95,149,1991 austral summer Japanese data sent by Taro Ichii (spermatophore notes not entered),
4652,KM97,KM,97,,,KYMT,9,3.4,OB,22-Jan-91,1991,1,22,,,,-60.8335,-56.9502,0,100,-3479,1880,2.01,1,48.78,149,1991 austral summer Japanese data sent by Taro Ichii (spermatophore notes not entered),
4653,KM99,KM,99,,,KYMT,9,3.4,OB,22-Jan-91,1991,1,22,,,,-61.3335,-56.4335,0,108,-393,605,1.46,1,38.33,3,1991 austral summer Japanese data sent by Taro Ichii (spermatophore notes not entered),
4654,KMK1,KM,,,,KYMT,9,3.4,OB,01-Jan-91,1991,1,1,,,,-60.9168,-55.3168,0,163,-515,2145,1.62,1,46.31,64,1991 austral summer Japanese data sent by Taro Ichii (spermatophore notes not entered),
4655,KMK10,KM,,,,KYMT,9,3.4,OB,04-Jan-91,1991,1,4,,,,-60.8335,-55.2835,0,59,-1844,3019,1.68,1,41.68,149,1991 austral summer Japanese data sent by Taro Ichii (spermatophore notes not entered),
4656,KMK11,KM,,,,KYMT,9,3.4,OB,05-Jan-91,1991,1,5,,,,-60.6502,-55.2502,0,85,-3337,227,1.68,1,46.29,148,1991 austral summer Japanese data sent by Taro Ichii (spermatophore notes not entered),
4657,KMK12,KM,,,,KYMT,9,3.4,OB,05-Jan-91,1991,1,5,,,,-60.5502,-55.1502,0,143,-3390,295,1.76,1,44.64,50,1991 austral summer Japanese data sent by Taro Ichii (spermatophore notes not entered),
4658,KMK14,KM,,,,KYMT,9,3.4,OB,06-Jan-91,1991,1,6,,,,-59.7502,-54.2835,0,81,-3597,289,2.15,1,47.61,149,1991 austral summer Japanese data sent by Taro Ichii (spermatophore notes not entered),
4659,KMK16,KM,,,,KYMT,9,3.4,OB,06-Jan-91,1991,1,6,,,,-59.5168,-53.8668,0,25,-3620,323,2.4,1,47.91,149,1991 austral summer Japanese data sent by Taro Ichii (spermatophore notes not entered),
4660,KMK17,KM,,,,KYMT,9,3.4,OB,07-Jan-91,1991,1,7,,,,-59.3668,-53.7668,0,181,-3595,166,2.64,1,44.29,7,1991 austral summer Japanese data sent by Taro Ichii (spermatophore notes not entered),
4661,KMK2,KM,,,,KYMT,9,3.4,OB,02-Jan-91,1991,1,2,,,,-60.8335,-55.2168,0,141,-1979,3039,1.66,1,45.02,149,1991 austral summer Japanese data sent by Taro Ichii (spermatophore notes not entered),
4662,KMK3,KM,,,,KYMT,9,3.4,OB,02-Jan-91,1991,1,2,,,,-60.9668,-55.3168,0,69,-204,962,1.54,1,40.49,45,1991 austral summer Japanese data sent by Taro Ichii (spermatophore notes not entered),
4663,KMK4,KM,,,,KYMT,9,3.4,OB,02-Jan-91,1991,1,2,,,,-61.0002,-55.2335,0,172,-196,570,1.44,1,43.78,144,1991 austral summer Japanese data sent by Taro Ichii (spermatophore notes not entered),
4664,KMK5,KM,,,,KYMT,9,3.4,OB,02-Jan-91,1991,1,2,,,,-60.9168,-55.0002,0,29,-856,2298,1.47,1,35.55,230,1991 austral summer Japanese data sent by Taro Ichii (spermatophore notes not entered),
4665,KMK9,KM,,,,KYMT,9,3.4,OB,04-Jan-91,1991,1,4,,,,-60.9502,-55.2668,0,117,-337,1695,1.54,1,29.25,149,1991 austral summer Japanese data sent by Taro Ichii (spermatophore notes not entered),
4666,LANC21,HERO,21,,,TUCKER TRAWL,4.8,6,,01-Apr-83,1983,4,1,,,,-64.0833,-61.7501,0,1000,-617,1249,0.44,1,30.85,2100,Lancraft et al (2004) Deep Sea Res II 51 2247-2260,"Area average,  21 discrete tows at various depth ranges from 15Mar-11Apr, mean sampling date used."
4667,LMG01042151,LMG0104,,15,1,MOCNESS,1,0.333,,18-May-01,2001,5,18,03:30:00,,,-68.6366,-70.4208,200,270,-310,339,-1.07,1,43,11,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4668,LMG01044104,LMG0104,,10,4,MOCNESS,1,0.333,,10-May-01,2001,5,10,06:30:00,,,-69.1921,-69.2821,100,150,-764,814,-1.59,1,52,1,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4669,LMG01044105,LMG0104,,10,5,MOCNESS,1,0.333,,10-May-01,2001,5,10,06:30:00,,,-69.1921,-69.2821,75,100,-764,814,-1.59,1,37,1,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4670,LMG01044106,LMG0104,,10,6,MOCNESS,1,0.333,,10-May-01,2001,5,10,06:30:00,,,-69.1921,-69.2821,50,75,-764,814,-1.59,1,34,1,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4671,LMG01044114,LMG0104,,11,4,MOCNESS,1,0.333,,17-May-01,2001,5,17,02:15:00,,,-69.7091,-68.9651,100,200,-796,616,-1.5,1,45.89,9,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4672,LMG01044123,LMG0104,,12,3,MOCNESS,1,0.333,,17-May-01,2001,5,17,04:50:00,,,-69.6598,-68.9894,150,200,-769,661,-1.51,1,50.88,8,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4673,LMG01044124,LMG0104,,12,4,MOCNESS,1,0.333,,17-May-01,2001,5,17,04:50:00,,,-69.6598,-68.9894,100,150,-769,661,-1.51,1,40,2,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4674,LMG01044125,LMG0104,,12,5,MOCNESS,1,0.333,,17-May-01,2001,5,17,04:50:00,,,-69.6598,-68.9894,75,100,-769,661,-1.51,1,30,2,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4675,LMG01044127,LMG0104,,12,7,MOCNESS,1,0.333,,17-May-01,2001,5,17,04:50:00,,,-69.6598,-68.9894,25,50,-769,661,-1.51,1,15,1,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4676,LMG01044132,LMG0104,,13,2,MOCNESS,1,0.333,,18-May-01,2001,5,18,03:25:00,,,-68.5083,-69.8399,200,320,-664,1242,-1.04,1,52,1,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4677,LMG01044135,LMG0104,,13,5,MOCNESS,1,0.333,,18-May-01,2001,5,18,03:25:00,,,-68.5083,-69.8399,75,100,-664,1242,-1.04,1,15,1,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4678,LMG01044137,LMG0104,,13,7,MOCNESS,1,0.333,,18-May-01,2001,5,18,03:25:00,,,-68.5083,-69.8399,25,50,-664,1242,-1.04,1,13.29,7,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4679,LMG01044138,LMG0104,,13,8,MOCNESS,1,0.333,,18-May-01,2001,5,18,03:25:00,,,-68.5083,-69.8399,0,25,-664,1242,-1.04,1,13.33,3,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4680,LMG01044148,LMG0104,,14,8,MOCNESS,1,0.333,,18-May-01,2001,5,18,05:28:00,,,-68.5443,-69.8843,0,25,-796,1315,-1.04,1,46,2,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4681,LMG0104494,LMG0104,,9,4,MOCNESS,1,0.333,,15-May-01,2001,5,15,04:00:00,,,-69.2401,-69.2731,100,150,-793,803,-1.57,1,33.17,6,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4682,LMG0104496,LMG0104,,9,6,MOCNESS,1,0.333,,15-May-01,2001,5,15,04:00:00,,,-69.2401,-69.2731,50,75,-793,803,-1.57,1,14,4,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4683,LMG0104497,LMG0104,,9,7,MOCNESS,1,0.333,,15-May-01,2001,5,15,04:00:00,,,-69.2401,-69.2731,25,50,-793,803,-1.57,1,13.15,13,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4684,LMG0104498,LMG0104,,9,8,MOCNESS,1,0.333,,15-May-01,2001,5,15,04:00:00,,,-69.2401,-69.2731,0,25,-793,803,-1.57,1,12.82,11,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4685,LMG0104551,LMG0104,,5,1,MOCNESS,1,0.333,,07-May-01,2001,5,7,05:05:00,,,-67.8121,-68.1781,435,500,-613,788,-1.06,1,45.2,10,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4686,LMG0104554,LMG0104,,5,4,MOCNESS,1,0.333,,07-May-01,2001,5,7,05:05:00,,,-67.8121,-68.1781,89,147,-613,788,-1.06,1,56,1,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4687,LMG0104555,LMG0104,,5,5,MOCNESS,1,0.333,,07-May-01,2001,5,7,05:05:00,,,-67.8121,-68.1781,75,89,-613,788,-1.06,1,49.73,11,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4688,LMG0104556,LMG0104,,5,6,MOCNESS,1,0.333,,07-May-01,2001,5,7,05:05:00,,,-67.8121,-68.1781,47,75,-613,788,-1.06,1,49.2,5,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4689,LMG0104561,LMG0104,,6,1,MOCNESS,1,0.333,,07-May-01,2001,5,7,04:00:00,,,-67.7171,-68.0371,200,350,-593,685,-1.05,1,43,1,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4690,LMG0104563,LMG0104,,6,3,MOCNESS,1,0.333,,07-May-01,2001,5,7,04:00:00,,,-67.7171,-68.0371,100,150,-593,685,-1.05,1,51.63,101,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4691,LMG0104564,LMG0104,,6,4,MOCNESS,1,0.333,,07-May-01,2001,5,7,04:00:00,,,-67.7171,-68.0371,75,100,-593,685,-1.05,1,47.89,122,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4692,LMG0104565,LMG0104,,6,5,MOCNESS,1,0.333,,07-May-01,2001,5,7,04:00:00,,,-67.7171,-68.0371,50,75,-593,685,-1.05,1,40.39,57,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4693,LMG0104566,LMG0104,,6,6,MOCNESS,1,0.333,,07-May-01,2001,5,7,04:00:00,,,-67.7171,-68.0371,25,50,-593,685,-1.05,1,43,1,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4694,LMG0104571,LMG0104,,7,1,MOCNESS,1,0.333,,09-May-01,2001,5,9,07:40:00,,,-67.4001,-67.8521,350,450,-303,757,-1.17,1,49.5,4,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4695,LMG0104573,LMG0104,,7,3,MOCNESS,1,0.333,,09-May-01,2001,5,9,07:40:00,,,-67.4001,-67.8521,150,200,-303,757,-1.17,1,47.5,2,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4696,LMG0104574,LMG0104,,7,4,MOCNESS,1,0.333,,09-May-01,2001,5,9,07:40:00,,,-67.4001,-67.8521,100,150,-303,757,-1.17,1,54,1,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4697,LMG0104577,LMG0104,,7,7,MOCNESS,1,0.333,,09-May-01,2001,5,9,07:40:00,,,-67.4001,-67.8521,0,25,-303,757,-1.17,1,53,1,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4698,LMG0104583,LMG0104,,8,3,MOCNESS,1,0.333,,10-May-01,2001,5,10,01:05:00,,,-67.7671,-67.3131,100,150,-263,586,-1.16,1,54.75,4,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4699,LMG0104584,LMG0104,,8,4,MOCNESS,1,0.333,,10-May-01,2001,5,10,01:05:00,,,-67.7671,-67.3131,75,100,-263,586,-1.16,1,46.62,13,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4700,LMG0104586,LMG0104,,8,6,MOCNESS,1,0.333,,10-May-01,2001,5,10,01:05:00,,,-67.7671,-67.3131,25,50,-263,586,-1.16,1,13.4,5,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4701,LMG0104587,LMG0104,,8,7,MOCNESS,1,0.333,,10-May-01,2001,5,10,01:05:00,,,-67.7671,-67.3131,0,25,-263,586,-1.16,1,12,1,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4702,LMG01046172,LMG0104,,17,2,MOCNESS,1,0.333,,25-May-01,2001,5,25,04:05:00,,,-68.6494,-67.6216,150,200,-272,443,-1.41,1,55,1,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4703,LMG01046173,LMG0104,,17,3,MOCNESS,1,0.333,,25-May-01,2001,5,25,04:05:00,,,-68.6494,-67.6216,100,150,-272,443,-1.41,1,49.3,10,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4704,LMG01046175,LMG0104,,17,5,MOCNESS,1,0.333,,25-May-01,2001,5,25,04:05:00,,,-68.6494,-67.6216,50,75,-272,443,-1.41,1,14.33,6,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4705,LMG01047182,LMG0104,,18,2,MOCNESS,1,0.333,,30-May-01,2001,5,30,03:00:00,,,-66.917,-67.3412,200,350,-382,703,-0.75,1,51,2,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4706,LMG01047184,LMG0104,,18,4,MOCNESS,1,0.333,,30-May-01,2001,5,30,03:00:00,,,-66.917,-67.3412,100,150,-382,703,-0.75,1,22.43,7,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4707,LMG01047185,LMG0104,,18,5,MOCNESS,1,0.333,,30-May-01,2001,5,30,03:00:00,,,-66.917,-67.3412,75,100,-382,703,-0.75,1,44.67,12,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4708,LMG01047187,LMG0104,,18,7,MOCNESS,1,0.333,,30-May-01,2001,5,30,03:00:00,,,-66.917,-67.3412,25,50,-382,703,-0.75,1,14.32,53,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4709,LMG01047188,LMG0104,,18,8,MOCNESS,1,0.333,,30-May-01,2001,5,30,03:00:00,,,-66.917,-67.3412,0,25,-382,703,-0.75,1,12.75,4,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4710,LMG0203163,LMG0203,,6,3,MOCNESS,1,0.333,,24-Apr-02,2002,4,24,03:04:00,,,-66.029,-71.5411,150,200,-3170,231,1.46,1,51.5,2,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4711,LMG0203164,LMG0203,,6,4,MOCNESS,1,0.333,,24-Apr-02,2002,4,24,03:04:00,,,-66.029,-71.5411,100,150,-3170,231,1.46,1,20,1,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4712,LMG0203178,LMG0203,,7,8,MOCNESS,1,0.333,,17-Apr-02,2002,4,17,06:47:00,,,-66.2376,-71.2283,0,20,-2085,2406,1.35,1,43,1,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4713,LMG02032134,LMG0203,,13,4,MOCNESS,1,0.333,,07-May-02,2002,5,7,06:20:00,,,-68.1422,-69.6368,50,50,-565,702,-0.82,1,28.36,33,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4714,LMG02032135,LMG0203,,13,5,MOCNESS,1,0.333,,07-May-02,2002,5,7,06:20:00,,,-68.1422,-69.6368,50,75,-565,702,-0.82,1,46,1,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4715,LMG02032136,LMG0203,,13,6,MOCNESS,1,0.333,,07-May-02,2002,5,7,06:20:00,,,-68.1422,-69.6368,25,50,-565,702,-0.82,1,20.5,4,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4716,LMG02032137,LMG0203,,13,7,MOCNESS,1,0.333,,07-May-02,2002,5,7,06:20:00,,,-68.1422,-69.6368,0,25,-565,702,-0.82,1,27,1,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4717,LMG02032141,LMG0203,,14,1,MOCNESS,1,0.333,,07-May-02,2002,5,7,08:21:00,,,-68.0941,-69.6664,150,194,-531,744,-0.77,1,18,1,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4718,LMG02032142,LMG0203,,14,2,MOCNESS,1,0.333,,07-May-02,2002,5,7,08:21:00,,,-68.0941,-69.6664,100,150,-531,744,-0.77,1,23.33,3,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4719,LMG02032143,LMG0203,,14,3,MOCNESS,1,0.333,,07-May-02,2002,5,7,08:21:00,,,-68.0941,-69.6664,75,120,-531,744,-0.77,1,20.25,4,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4720,LMG02032144,LMG0203,,14,4,MOCNESS,1,0.333,,07-May-02,2002,5,7,08:21:00,,,-68.0941,-69.6664,75,75,-531,744,-0.77,1,31.17,12,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4721,LMG02032145,LMG0203,,14,5,MOCNESS,1,0.333,,07-May-02,2002,5,7,08:21:00,,,-68.0941,-69.6664,45,75,-531,744,-0.77,1,32,2,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4722,LMG02033151,LMG0203,,15,1,MOCNESS,1,0.333,,08-May-02,2002,5,8,14:35:00,,,-67.7884,-68.8273,100,150,-158,465,-0.81,1,38.67,15,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4723,LMG02033152,LMG0203,,15,2,MOCNESS,1,0.333,,08-May-02,2002,5,8,14:35:00,,,-67.7884,-68.8273,75,100,-158,465,-0.81,1,30.69,13,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4724,LMG02033153,LMG0203,,15,3,MOCNESS,1,0.333,,08-May-02,2002,5,8,14:35:00,,,-67.7884,-68.8273,72,75,-158,465,-0.81,1,38.13,56,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4725,LMG02033154,LMG0203,,15,4,MOCNESS,1,0.333,,08-May-02,2002,5,8,14:35:00,,,-67.7884,-68.8273,50,72,-158,465,-0.81,1,40.81,42,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4726,LMG02033155,LMG0203,,15,5,MOCNESS,1,0.333,,08-May-02,2002,5,8,14:35:00,,,-67.7884,-68.8273,25,50,-158,465,-0.81,1,28.27,91,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4727,LMG02033156,LMG0203,,15,6,MOCNESS,1,0.333,,08-May-02,2002,5,8,14:35:00,,,-67.7884,-68.8273,25,50,-158,465,-0.81,1,23.31,75,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4728,LMG02033157,LMG0203,,15,7,MOCNESS,1,0.333,,08-May-02,2002,5,8,14:35:00,,,-67.7884,-68.8273,17,100,-158,465,-0.81,1,36.57,98,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4729,LMG02033158,LMG0203,,15,8,MOCNESS,1,0.333,,08-May-02,2002,5,8,14:35:00,,,-67.7884,-68.8273,0,100,-158,465,-0.81,1,22.29,79,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4730,LMG02034101,LMG0203,,10,1,MOCNESS,1,0.333,,02-May-02,2002,5,2,04:45:00,,,-68.6743,-69.8904,52,100,-958,1219,-1.2,1,45.15,103,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4731,LMG02034102,LMG0203,,10,2,MOCNESS,1,0.333,,02-May-02,2002,5,2,04:45:00,,,-68.6743,-69.8904,52,52,-958,1219,-1.2,1,44.7,87,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4732,LMG02034103,LMG0203,,10,3,MOCNESS,1,0.333,,02-May-02,2002,5,2,04:45:00,,,-68.6743,-69.8904,24,52,-958,1219,-1.2,1,38.8,5,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4733,LMG02034104,LMG0203,,10,4,MOCNESS,1,0.333,,02-May-02,2002,5,2,04:45:00,,,-68.6743,-69.8904,24,24,-958,1219,-1.2,1,26.67,3,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4734,LMG02034105,LMG0203,,10,5,MOCNESS,1,0.333,,02-May-02,2002,5,2,04:45:00,,,-68.6743,-69.8904,24,34,-958,1219,-1.2,1,24.33,6,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4735,LMG02034106,LMG0203,,10,6,MOCNESS,1,0.333,,02-May-02,2002,5,2,04:45:00,,,-68.6743,-69.8904,25,34,-958,1219,-1.2,1,25.8,5,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4736,LMG02034107,LMG0203,,10,7,MOCNESS,1,0.333,,02-May-02,2002,5,2,04:45:00,,,-68.6743,-69.8904,0,25,-958,1219,-1.2,1,27.74,27,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4737,LMG02034111,LMG0203,,11,1,MOCNESS,1,0.333,,03-May-02,2002,5,3,03:40:00,,,-68.779,-69.8633,330,500,-937,1336,-1.46,1,41,3,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4738,LMG02034112,LMG0203,,11,2,MOCNESS,1,0.333,,03-May-02,2002,5,3,03:40:00,,,-68.779,-69.8633,200,330,-937,1336,-1.46,1,52.42,12,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4739,LMG02034113,LMG0203,,11,3,MOCNESS,1,0.333,,03-May-02,2002,5,3,03:40:00,,,-68.779,-69.8633,140,200,-937,1336,-1.46,1,53,2,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4740,LMG02034114,LMG0203,,11,4,MOCNESS,1,0.333,,03-May-02,2002,5,3,03:40:00,,,-68.779,-69.8633,100,140,-937,1336,-1.46,1,52.67,3,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4741,LMG02034115,LMG0203,,11,5,MOCNESS,1,0.333,,03-May-02,2002,5,3,03:40:00,,,-68.779,-69.8633,75,100,-937,1336,-1.46,1,44,7,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4742,LMG02034116,LMG0203,,11,6,MOCNESS,1,0.333,,03-May-02,2002,5,3,03:40:00,,,-68.779,-69.8633,50,75,-937,1336,-1.46,1,43.91,11,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4743,LMG02034117,LMG0203,,11,7,MOCNESS,1,0.333,,03-May-02,2002,5,3,03:40:00,,,-68.779,-69.8633,25,50,-937,1336,-1.46,1,30.87,30,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4744,LMG02034118,LMG0203,,11,8,MOCNESS,1,0.333,,03-May-02,2002,5,3,03:40:00,,,-68.779,-69.8633,0,25,-937,1336,-1.46,1,22.7,10,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4745,LMG02034122,LMG0203,,12,2,MOCNESS,1,0.333,,03-May-02,2002,5,3,08:24:00,,,-68.7754,-69.8493,200,350,-902,1336,-1.46,1,49.5,6,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4746,LMG02034123,LMG0203,,12,3,MOCNESS,1,0.333,,03-May-02,2002,5,3,08:24:00,,,-68.7754,-69.8493,150,200,-902,1336,-1.46,1,26.75,4,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4747,LMG02034124,LMG0203,,12,4,MOCNESS,1,0.333,,03-May-02,2002,5,3,08:24:00,,,-68.7754,-69.8493,100,150,-902,1336,-1.46,1,29,3,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4748,LMG02034125,LMG0203,,12,5,MOCNESS,1,0.333,,03-May-02,2002,5,3,08:24:00,,,-68.7754,-69.8493,75,100,-902,1336,-1.46,1,38,1,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4749,LMG02034126,LMG0203,,12,6,MOCNESS,1,0.333,,03-May-02,2002,5,3,08:24:00,,,-68.7754,-69.8493,50,75,-902,1336,-1.46,1,48,1,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4750,LMG0203492,LMG0203,,9,2,MOCNESS,1,0.333,,02-May-02,2002,5,2,01:50:00,,,-68.6013,-69.8976,200,350,-877,1387,-1.05,1,32,1,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4751,LMG0203496,LMG0203,,9,6,MOCNESS,1,0.333,,02-May-02,2002,5,2,01:50:00,,,-68.6013,-69.8976,50,70,-877,1387,-1.05,1,49.13,16,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4752,LMG0203497,LMG0203,,9,7,MOCNESS,1,0.333,,02-May-02,2002,5,2,01:50:00,,,-68.6013,-69.8976,25,50,-877,1387,-1.05,1,35,2,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4753,LMG0203498,LMG0203,,9,8,MOCNESS,1,0.333,,02-May-02,2002,5,2,01:50:00,,,-68.6013,-69.8976,0,25,-877,1387,-1.05,1,22.79,38,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4754,LMG0203531,LMG0203,,3,1,MOCNESS,1,0.333,,20-Apr-02,2002,4,20,01:28:00,,,-67.3011,-67.8361,150,350,-268,759,-1.17,1,35.5,2,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4755,LMG0203532,LMG0203,,3,2,MOCNESS,1,0.333,,20-Apr-02,2002,4,20,01:28:00,,,-67.3011,-67.8361,95,150,-268,759,-1.17,1,36.19,47,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4756,LMG0203533,LMG0203,,3,3,MOCNESS,1,0.333,,20-Apr-02,2002,4,20,01:28:00,,,-67.3011,-67.8361,75,95,-268,759,-1.17,1,48,4,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4757,LMG0203534,LMG0203,,3,4,MOCNESS,1,0.333,,20-Apr-02,2002,4,20,01:28:00,,,-67.3011,-67.8361,50,75,-268,759,-1.17,1,41.88,17,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
4758,LMG0203535,LMG0203,,3,5,MOCNESS,1,0.333,,20-Apr-02,2002,4,20,01:28:00,,,-67.3011,-67.8361,25,50,-268,759,-1.17,1,21.75,4,Data sent by Kendra Daly on the US SO GLOBEC Program (winter data),
